"","arvore","metodo","vol_cubagem","vol_criterion","er","er_med","dap_criterion","dap_cubagem","ht_criterion","ht_cubagem","secao_max_criterion","secao_max_cubagem"
"1",1,"Criterion",0.108901117266202,0.10437085507554,-4.16,0.11,11,12.5732405,17.4,17.92,15.3,17.3
"2",2,"Criterion",0.426777680266423,0.442907544249498,3.78,0.11,21.9,20.05352283,28.4,28.9,23.3,28.3
"3",3,"Criterion",0.554611511454633,0.601918628092415,8.53,0.11,22.4,22.6636639,27.4,29.9,24.3,29.3
"4",4,"Criterion",0.121626836186808,0.134287770676777,10.41,0.11,12.2,12.44591655,20.2,20.22,16.3,19.3
"5",5,"Criterion",0.103093083882193,0.0941971214261547,-8.63,0.11,11.1,11.87295875,19.2,19,14.3,18.3
"6",6,"Criterion",0.0884074116419625,0.0997967747117295,12.88,0.11,11,11.4591559,19.7,18.38,15.3,16.3
"7",7,"Criterion",0.0660797636427106,0.0755048807567444,14.26,0.11,10.3,10.12225438,17.43,16.42,13.3,15.3
"8",8,"Criterion",0.197320417822821,0.223542302920856,13.29,0.11,16.3,14.89690267,23.7,24.8,17.3,24.3
"9",9,"Criterion",0.264064756780705,0.277839391230644,5.22,0.11,18.1,17.28422682,24.3,25.73,17.3,24.3
"10",10,"Criterion",0.363893326093832,0.39866606570532,9.56,0.11,20,18.39831142,28.3,27.84,21.3,26.3
"11",11,"Criterion",0.356420619556684,0.352701423590648,-1.04,0.11,18.1,18.36648043,25.7,27.22,20.3,26.3
"12",12,"Criterion",0.287421612072174,0.267098285948021,-7.07,0.11,16.1,16.61577606,26.5,26.85,18.3,26.3
"13",13,"Criterion",0.380321959854552,0.330361872390236,-13.14,0.11,18.5,19.73521294,26.2,26.68,19.3,25.3
"14",14,"Criterion",0.0786454204061367,0.0548984676835019,-30.19,0.11,9.2,10.53605723,16.4,17.64,11.3,17.3
"15",15,"Criterion",0.231280414149236,0.220897238986166,-4.49,0.11,15.8,16.13831123,25.1,25.2,17.3,23.3
"16",16,"Criterion",0.252471672001683,0.233516466896921,-7.51,0.11,16,16.17014222,24.7,25.93,18.3,24.3
"17",1,"Cubagem 1,3",0.108901117266202,0.110037658065549,1.04,0.65,11,12.5732405,17.4,17.92,15.3,17.3
"18",2,"Cubagem 1,3",0.426777680266423,0.435902085478093,2.14,0.65,21.9,20.05352283,28.4,28.9,23.3,28.3
"19",3,"Cubagem 1,3",0.554611511454633,0.60433782362295,8.97,0.65,22.4,22.6636639,27.4,29.9,24.3,29.3
"20",4,"Cubagem 1,3",0.121626836186808,0.129961449239707,6.85,0.65,12.2,12.44591655,20.2,20.22,16.3,19.3
